Tipo,tamAWG,Area
RFH FFH-2,18,9.355
RFH FFH-2,16,11.1
RHH RHW RHW-2,14,18.9
RHH RHW RHW-2,12,22.77
RHH RHW RHW-2,10,28.19
RHH RHW RHW-2,8,53.87
RHH RHW RHW-2,6,67.16
RHH RHW RHW-2,4,86
RHH RHW RHW-2,3,98.13
RHH RHW RHW-2,2,112.9
RHH RHW RHW-2,1,171.6
RHH RHW RHW-2,1/0,196.1
RHH RHW RHW-2,2/0,226.1
RHH RHW RHW-2,3/0,262.7
RHH RHW RHW-2,4/0,306.7
RHH RHW RHW-2,250,405.9
RHH RHW RHW-2,300,457.3
RHH RHW RHW-2,350,507.7
RHH RHW RHW-2,400,556.5
RHH RHW RHW-2,500,650.5
RHH RHW RHW-2,600,782.9
RHH RHW RHW-2,700,874.9
RHH RHW RHW-2,750,920.8
RHH RHW RHW-2,800,965
RHH RHW RHW-2,900,1057
RHH RHW RHW-2,1000,1143
RHH RHW RHW-2,1250,1515
RHH RHW RHW-2,1500,1738
RHH RHW RHW-2,1750,1959
RHH RHW RHW-2,2000,2175
SF-2 SFF-2,18,7.419
SF-2 SFF-2,16,8.968
SF-2 SFF-2,14,11.1
SF-1 SFF-1,18,4.194
RFH-1 XF XFF,18,5.161
TF TFF XF XFF,16,7.032
TW XF XFF THHW THW THW-2,14,8.968
TW THHW THW THW-2,12,11.68
TW THHW THW THW-2,10,55.68
TW THHW THW THW-2,8,28.19
RHH* RHW* RHW-2*,14,13.48
RHH* RHW* RHW-2* XF XFF,12,16.67
RHH* RHW* RHW-2* XF XFF,10,21.48
RHH* RHW* RHW-2*,8,35.87
TW THW THHW THW-2 RHH* RHW* RHW-2*,6,46.84
TW THW THHW THW-2 RHH* RHW* RHW-2*,4,62.77
TW THW THHW THW-2 RHH* RHW* RHW-2*,3,73.16
TW THW THHW THW-2 RHH* RHW* RHW-2*,2,86
TW THW THHW THW-2 RHH* RHW* RHW-2*,1,122.6
TW THW THHW THW-2 RHH* RHW* RHW-2*,1/0,143.4
TW THW THHW THW-2 RHH* RHW* RHW-2*,2/0,169.3
TW THW THHW THW-2 RHH* RHW* RHW-2*,3/0,201.1
TW THW THHW THW-2 RHH* RHW* RHW-2*,4/0,239.9
TW THW THHW THW-2 RHH* RHW* RHW-2*,250,296.5
TW THW THHW THW-2 RHH* RHW* RHW-2*,300,340.7
TW THW THHW THW-2 RHH* RHW* RHW-2*,350,384.4
TW THW THHW THW-2 RHH* RHW* RHW-2*,400,427
TW THW THHW THW-2 RHH* RHW* RHW-2*,500,509.7
TW THW THHW THW-2 RHH* RHW* RHW-2*,600,627.7
TW THW THHW THW-2 RHH* RHW* RHW-2*,700,710.3
TW THW THHW THW-2 RHH* RHW* RHW-2*,750,751.7
TW THW THHW THW-2 RHH* RHW* RHW-2*,800,791.7
TW THW THHW THW-2 RHH* RHW* RHW-2*,900,874.9
TW THW THHW THW-2 RHH* RHW* RHW-2*,1000,953.8
TW THW THHW THW-2 RHH* RHW* RHW-2*,1250,1200
TW THW THHW THW-2 RHH* RHW* RHW-2*,1500,1400
TW THW THHW THW-2 RHH* RHW* RHW-2*,1750,1598
TW THW THHW THW-2 RHH* RHW* RHW-2*,2000,1795
TFN TFFN,18,3.548
TFN TFFN,16,4.645
TFN TFFN,14,6.258
TFN TFFN,12,8.581
TFN TFFN,10,13.61
TFN TFFN,8,23.61
TFN TFFN,6,32.71
TFN TFFN,4,53.16
TFN TFFN,3,62.77
TFN TFFN,2,74.71
TFN TFFN,1,100.8
TFN TFFN,1/0,119.7
TFN TFFN,2/0,143.4
TFN TFFN,3/0,172.8
TFN TFFN,4/0,208.8
TFN TFFN,250,256.1
TFN TFFN,300,297.3
THHN THWN THWN-2,350,338.2
THHN THWN THWN-2,400,378.3
THHN THWN THWN-2,500,456.3
THHN THWN THWN-2,600,559.7
THHN THWN THWN-2,700,637.9
THHN THWN THWN-2,750,677.2
THHN THWN THWN-2,800,715.2
THHN THWN THWN-2,900,794.3
THHN THWN THWN-2,1000,869.5
PF PGFF PGF PFF PTF PAF PTFF PAFF,18,3.742
PF PGFF PGF PFF PTF PAF PTFF PAFF,16,4.839
PF PGFF PGF PFF PTF PAF PTFF PAFF TFE FEP PFA FEPB PFAH,14,6.452
TFE FEP PFA FEPB PFAH,12,8.839
TFE FEP PFA FEPB PFAH,10,12.32
TTFE FEP PFA FEPB PFAH,8,21.48
TFE FEP PFA FEPB PFAH,6,30.19
TFE FEP PFA FEPB PFAH,4,43.23
TFE FEP PFA FEPB PFAH,3,51.87
TFE FEP PFA FEPB PFAH,2,62.77
TFE PFAH,1,90.26
TFE PFA PFAH Z,1/0,108.1
TFE PFA PFAH Z,2/0,130.8
TFE PFA PFAH Z,3/0,158.9
TFE PFA PFAH Z,4/0,193.5
ZF ZFF,18,2.903
ZF ZFF,16,3.935
Z ZF ZFF,14,5.355
Z,12,7.548
Z,10,12.32
Z,8,19.48
Z,6,27.74
Z,4,40.32
Z,3,55.16
Z,2,66.39
Z,1,81.87
XHHW ZW XHHW-2 XHH,14,8.968
XHHW ZW XHHW-2 XHH,12,11.68
XHHW ZW XHHW-2 XHH,10,15.68
XHHW ZW XHHW-2 XHH,8,28.19
XHHW ZW XHHW-2 XHH,6,38.06
XHHW ZW XHHW-2 XHH,4,52.52
XHHW ZW XHHW-2 XHH,3,62.06
XHHW ZW XHHW-2 XHH,2,73.94
XHHW XHHW-2 XHH,1,98.97
XHHW XHHW-2 XHH,1/0,117.7
XHHW XHHW-2 XHH,2/0,141.3
XHHW XHHW-2 XHH,3/0,170.5
XHHW XHHW-2 XHH,4/0,206.3
En blanco,250,251.9
En blanco,300,292.6
En blanco,350,333.3
En blanco,400,373
En blanco,500,450.6
En blanco,600,561.9
En blanco,700,640.2
En blanco,750,679.5
En blanco,800,717.5
En blanco,900,796.8
En blanco,1000,872.2
En blanco,1250,1108
En blanco,1500,1300
En blanco,1750,1492
En blanco,2000,1682
KF-2 KFF-2,18,2
KF-2 KFF-2,16,2.839
KF-2 KFF-2,14,4.129
KF-2 KFF-2,12,6
KF-2 KFF-2,10,8.968
KF-1 KFF-1,18,1.677
KF-1 KFF-1,16,2.387
KF-1 KFF-1,14,3.548
KF-1 KFF-1,12,5.355
KF-1 KFF-1,10,8.194
